Source	RA		DEC		LST1	LST2	UTC1	UTC2	Date		LO	SUB1	SUB2	FREQ1		FREQ2		Intent			Scan	Person
3C295	14h11m20.5s	52d12m10s	17:23	19:29	15:00	17:05	2017-10-20	4800	137	308	1307.03125	1440.625	bandpass		102001	-
3C48	01h37m41.3s	33d09m35s	19:38	7:05	17:15	4:40	2017-10-20	4800	137	308	1307.03125	1440.625	bandpass		102002	-
3C147	05h42m36.1s	49d51m07s	7:15	7:46	4:50	5:20	2017-10-21	4800	137	308	1307.03125	1440.625	calibrator		102003	-
3C293	13h52m17.8s	31d26m46s	7:55	19:51	05:30	17:23	2017-10-21	4800	137	308	1307.03125	1440.625	target:absorption	102004	RM
3C48	01h37m41.3s	33d09m35s	20:00	20:18	17:33	17:50	2017-10-21	4800	137	308	1307.03125	1440.625	calibrator		102005	-
W3	02h25m44s	62d06m14s	20:27	08:24	18:00	5:55	2017-10-21	4800	137	308	1307.03125	1440.625	target:RRL/aliasing	102006	TAO
3C295	14h11m20.5s	52d12m10s	8:35	9:05	6:05	6:35	2017-10-22	4800	137	308	1307.03125	1440.625	calibrator		102007	-
RFI1	120deg		45deg		9:15	11:15	6:45	8:45	2017-10-22	4800	137	308	1307.03125	1440.625	RFI			102008	FM
RFI2	150deg		45deg		11:20	13:20	8:50	10:50	2017-10-22	4800	137	308	1307.03125	1440.625	RFI			102009	FM
RFI3	150deg		30deg		13:25	15:25	10:55	12:55	2017-10-22	4800	137	308	1307.03125	1440.625	RFI			102010	FM
RFI4	180deg		30deg		15:30	17:30	13:00	15:00	2017-10-22	4800	137	308	1307.03125	1440.625	RFI			102011	FM
3C295	14h11m20.5s	52d12m10s	17:40	20:08	15:10	17:37	2017-10-22	4800	137	308	1307.03125	1440.625	bandpass		102012	-
3C48	01h37m41.3s	33d09m35s	20:19	7:36	17:47	5:07	2017-10-22	4800	137	308	1307.03125	1440.625	bandpass		102013	-
